university_id,university_name,country,city,region,ranking_qs,ranking_times,program_name,degree_type,study_language,tuition_per_year_eur,living_cost_per_month_eur,application_deadline,intake_month,english_language_requirement,academic_requirement,required_documents,average_processing_time
UNIV_HELSINKI_001,University of Helsinki,Finland,Helsinki,Uusimaa,31,22,Master's in Computer Science,Master's,English,0,800,2026-01-15,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV",3 months
UNIV_HELSINKI_002,University of Helsinki,Finland,Helsinki,Uusimaa,31,22,Master's in Electrical Engineering,Master's,English,0,800,2026-01-15,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV",3 months
UNIV_HELSINKI_003,University of Helsinki,Finland,Helsinki,Uusimaa,31,22,Master's in Chemical Engineering,Master's,English,0,800,2026-01-15,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV",3 months
UNIV_HELSINKI_004,University of Helsinki,Finland,Helsinki,Uusimaa,31,22,Master's in Business Administration,Master's,English,0,800,2026-01-15,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV",3 months
UNIV_AALTO_001,Aalto University,Finland,Espoo,Uusimaa,38,62,Master's in Computer Science,Master's,English,0,900,2026-01-20,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV, Portfolio",3 months
UNIV_AALTO_002,Aalto University,Finland,Espoo,Uusimaa,38,62,Master's in Mechanical Engineering,Master's,English,0,900,2026-01-20,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV",3 months
UNIV_AALTO_003,Aalto University,Finland,Espoo,Uusimaa,38,62,Master's in Business & Economics,Master's,English,0,900,2026-01-20,September,IELTS 6.5,GMAT 600,"Transcript, SOP, LOR (2), CV",3 months
UNIV_AALTO_004,Aalto University,Finland,Espoo,Uusimaa,38,62,Master's in Architecture,Master's,English,0,900,2026-01-20,September,IELTS 6.5,GPA 3.0,"Transcript, SOP, LOR (2), CV, Portfolio",3 months
UNIV_TAMPERE_001,Tampere University,Finland,Tampere,Pirkanmaa,263,201,Master's in Computer Science,Master's,English,0,700,2026-02-01,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, LOR (1), CV",2 months
UNIV_TAMPERE_002,Tampere University,Finland,Tampere,Pirkanmaa,263,201,Master's in Electrical Engineering,Master's,English,0,700,2026-02-01,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, LOR (1), CV",2 months
UNIV_TAMPERE_003,Tampere University,Finland,Tampere,Pirkanmaa,263,201,Master's in Technology Management,Master's,English,0,700,2026-02-01,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, LOR (1), CV",2 months
UNIV_TURKU_001,University of Turku,Finland,Turku,Southwest Finland,346,301,Master's in Information Technology,Master's,English,0,650,2026-01-31,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, LOR (1), CV",2 months
UNIV_TURKU_002,University of Turku,Finland,Turku,Southwest Finland,346,301,Master's in Biotechnology,Master's,English,0,650,2026-01-31,September,IELTS 6.0,GPA 3.0,"Transcript, SOP, LOR (1), CV",2 months
UNIV_TURKU_003,University of Turku,Finland,Turku,Southwest Finland,346,301,Master's in Business Administration,Master's,English,0,650,2026-01-31,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, LOR (1), CV",2 months
UNIV_OULU_001,University of Oulu,Finland,Oulu,North Ostrobothnia,346,301,Master's in Engineering (ICT),Master's,English,0,600,2026-02-15,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",4 weeks
UNIV_OULU_002,University of Oulu,Finland,Oulu,North Ostrobothnia,346,301,Master's in Chemical Engineering,Master's,English,0,600,2026-02-15,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",4 weeks
UNIV_OULU_003,University of Oulu,Finland,Oulu,North Ostrobothnia,346,301,Master's in Environmental Engineering,Master's,English,0,600,2026-02-15,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",4 weeks
UNIV_ABOAKADEMI_001,Åbo Akademi University,Finland,Turku,Southwest Finland,351,351,Master's in Chemical Engineering,Master's,English,0,650,2026-01-31,September,IELTS 6.0,GPA 2.9,"Transcript, SOP, LOR (1), CV",2 months
UNIV_ABOAKADEMI_002,Åbo Akademi University,Finland,Turku,Southwest Finland,351,351,Master's in Industrial Chemistry,Master's,English,0,650,2026-01-31,September,IELTS 6.0,GPA 2.9,"Transcript, SOP, LOR (1), CV",2 months
UNIV_EASTERN_FIN_001,University of Eastern Finland,Finland,Kuopio,North Savo,351,351,Master's in Computer Science,Master's,English,0,650,2026-02-10,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, CV",2 months
UNIV_EASTERN_FIN_002,University of Eastern Finland,Finland,Kuopio,North Savo,351,351,Master's in Environmental Science,Master's,English,0,650,2026-02-10,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, CV",2 months
UNIV_EASTERN_FIN_003,University of Eastern Finland,Finland,Joensuu,North Karelia,351,351,Master's in Biosciences,Master's,English,0,600,2026-02-10,September,IELTS 6.0,GPA 2.8,"Transcript, SOP, CV",2 months
UNIV_LUT_001,Lappeenranta University of Technology,Finland,Lappeenranta,South Karelia,351,351,Master's in Mechanical Engineering,Master's,English,0,600,2026-02-20,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",3 weeks
UNIV_LUT_002,Lappeenranta University of Technology,Finland,Lappeenranta,South Karelia,351,351,Master's in Energy Technology,Master's,English,0,600,2026-02-20,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",3 weeks
UNIV_LUT_003,Lappeenranta University of Technology,Finland,Lappeenranta,South Karelia,351,351,Master's in Chemical Engineering,Master's,English,0,600,2026-02-20,September,IELTS 5.5,GPA 2.7,"Transcript, SOP, CV",3 weeks
